svg1,133.012,96.6235,1111.17,692.478
layer-MC0,133.012,96.6235,1111.17,692.478
path1,158.543,281.941,205.527,103.719
text1,369.726,280.231,140.312,77.7604
path2,311.319,96.6235,73.9797,123.489
path3,256.17,147.688,64.0853,76.4253
path9,217.371,175.461,209.439,86.2786
path14,248.737,177.693,198.679,91.5109
path15,133.012,640.945,76.3594,74.75
path16,213.605,643.477,124.934,101.187
text16,344.194,639.239,140.312,77.7604
path17,277.787,455.631,73.9797,123.489
path18,222.638,506.695,64.0853,76.4253
path19,183.839,534.468,209.437,86.2795
path20,215.206,536.7,198.679,91.5104
path21,661.551,529.813,76.3594,74.75
path22,742.145,532.344,124.934,101.187
text22,872.733,528.104,140.312,77.7604
path23,825.872,130.028,73.9797,123.489
path24,770.723,181.092,64.0853,76.4253
path30,731.924,208.865,209.438,86.2788
path35,763.291,211.099,198.679,91.5102
path36,1108.09,122.575,73.9797,123.491
path37,1052.94,173.639,64.0853,76.4253
path38,1014.14,201.412,209.437,86.2795
path39,1045.5,203.644,198.679,91.5104
path40,650.738,685.383,76.3594,74.75
path41,731.332,687.914,124.93,101.187
text41,861.919,683.675,140.312,77.7604



